stimulus_id,n_constraints,delta_logit,l10h7_activation,l10h7_zscore
30,5,8.57795852956702,-0.023974401876330376,-0.10955066509963353
30,6,8.637374828849554,-0.02435055933892727,-0.11147174960901957
30,7,8.429502960183118,-0.024293096736073494,-0.11117828071051818
31,1,3.285838143826982,-0.01784651167690754,-0.018951790981061752
31,2,2.23370623465451,-0.019328095018863678,-0.02660610986908555
31,3,1.669956908517422,-0.022482099011540413,-0.042900672348556726
31,4,1.8565445714935513,-0.02334539406001568,-0.04736072222111885
31,5,1.9203131139365823,-0.02290973626077175,-0.04510997896082753
31,6,1.6821430924250391,-0.0254265908151865,-0.05811282990327277
31,7,1.8535592682515298,-0.028100790455937386,-0.07192857434429789
32,1,10.54070212180208,-0.015512578189373016,-0.02241854893517388
32,2,9.906135602611744,-0.020104609429836273,-0.045789160041940856
32,3,10.186587418658716,-0.023370040580630302,-0.062408193651440194
32,4,9.599579996668162,-0.02865655906498432,-0.08931331714404714
32,5,9.611178043891506,-0.03269393369555473,-0.10986106768022798
32,6,9.629770404035563,-0.034796178340911865,-0.12056019830133594
32,7,9.85755302854675,-0.036089666187763214,-0.1271432548741485
33,1,5.556886330057317,-0.008251795545220375,0.0176061403667683
33,2,5.009504523433399,-0.011856643483042717,-0.0007842636342683057
33,3,4.637352136983574,-0.014821111224591732,-0.015907719701061702
33,4,4.493213508438804,-0.014288283884525299,-0.013189460785391917
33,5,4.365587996669384,-0.012715678662061691,-0.0051666964763052384
33,6,4.110949228780803,-0.015946289524435997,-0.021647901773716807
33,7,4.410938330611934,-0.015174799598753452,-0.017712087653190392
34,1,3.3491545003790453,-0.0398881770670414,-0.17596777976917904
34,2,2.651061251814962,-0.04043635353446007,-0.1788171797148577
34,3,2.3581867726133448,-0.04106926545500755,-0.1821070312484698
34,4,2.2326203840991603,-0.04352647438645363,-0.19487950765329157
34,5,2.021438751482179,-0.04370839148759842,-0.1958251056658456
34,6,1.8834896365065843,-0.04479284957051277,-0.20146207657978832
34,7,2.0619326480876023,-0.04533611610531807,-0.20428595488680978
35,1,1.2295143779798212,0.0005871199537068605,0.025759720289070264
35,2,0.2982545538653887,-0.006231552921235561,-0.009926590201251065
35,3,-1.2517414376559126,-0.00949023012071848,-0.026981252957669066
35,4,-1.6216679003601848,-0.013278862461447716,-0.04680949703457502
35,5,-1.8097637817526415,-0.017239630222320557,-0.06753863167512728
35,6,-1.7990146087015866,-0.018712183460593224,-0.07524540879119039
35,7,-1.934890967569819,-0.02030249312520027,-0.08356847773844578
36,1,7.717379897274568,-0.014722404070198536,-0.053899281496788846
36,2,6.6751881756172065,-0.023628003895282745,-0.0986874810183517
36,3,6.930419715945904,-0.0260438434779644,-0.1108372640050594
36,4,7.068401145853208,-0.02916170097887516,-0.12651764787288855
36,5,6.895982968459726,-0.03410299867391586,-0.15136850928679998
36,6,6.768270613369486,-0.03557557985186577,-0.1587744404879692
36,7,6.578601760018914,-0.03730648383498192,-0.16747953329150095
37,1,8.694503988640077,-0.017653631046414375,-0.033932616174785116
37,2,6.011275872348648,-0.020201390609145164,-0.047041032055132055
37,3,5.584917268002216,-0.021138673648238182,-0.05186342426739317
37,4,5.60768805810087,-0.028063809499144554,-0.08749377262894814
37,5,5.441377755366227,-0.028779182583093643,-0.09117442131777492
37,6,5.477344267039707,-0.0296588484197855,-0.09570036866059671
37,7,5.082905082095671,-0.03330554813146591,-0.11446291482496536
38,1,7.461893675984966,-0.020555440336465836,-0.012002301768275533
38,2,7.392831656036123,-0.040694694966077805,-0.11583741445443899
38,3,6.957384741657781,-0.04171307012438774,-0.12108801092708207
38,4,6.6400635877148995,-0.04195469245314598,-0.12233378105092843
38,5,6.01528664001849,-0.04090506583452225,-0.11692205652449338
38,6,5.921090979257725,-0.0408015176653862,-0.11638817699377438
38,7,5.9843694732656365,-0.04150785505771637,-0.12002995143259666
39,1,5.792033198589544,0.018443623557686806,-0.018802842613373054
39,2,7.371436434672492,0.01445377804338932,-0.03952688773956248
39,3,7.971276780064466,0.007435721345245838,-0.07598005946996977
39,4,8.309119549710418,0.001325420569628477,-0.10771816776381456
39,5,8.480688069145314,-0.0017348658293485641,-0.12361389936650316
39,6,8.27345108829806,-0.005951435770839453,-0.14551559591892652
39,7,8.33460202507863,-0.008905035443603992,-0.16085717560759483
40,1,7.539811858850735,-0.019253410398960114,-0.07298545972376383
40,2,7.746428719902241,-0.030439671128988266,-0.12999812700342292
40,3,7.5676338574808035,-0.033558279275894165,-0.14589264018760942
40,4,7.223431384927277,-0.03961975872516632,-0.17678599404411074
40,5,7.470044665850683,-0.04107705503702164,-0.18421335084911097
40,6,7.029055542835304,-0.04158473387360573,-0.1868008217916929
40,7,6.726701164773405,-0.04183003306388855,-0.18805103054840666
41,1,6.181963244409344,-0.024256376549601555,-0.10726767635185006
41,2,6.173580861769748,-0.030518092215061188,-0.13916896458194095
41,3,5.510395720757289,-0.03226650878787041,-0.14807654582890267
41,4,6.60658277399546,-0.03408103063702583,-0.15732091072860716
41,5,6.1145048976301775,-0.038315750658512115,-0.17889535313332378
41,6,6.127781385328059,-0.037363629788160324,-0.17404462468480553
41,7,6.168660903112237,-0.0397602878510952,-0.18625477342669103
42,1,8.465073377251716,-0.0024053468368947506,-0.031743146712933434
42,2,11.035389596798773,-0.015065685845911503,-0.09739688590165416
42,3,10.731302890621889,-0.021348269656300545,-0.12997698653124984
42,4,10.159807302151524,-0.02344006858766079,-0.14082459664476732
42,5,10.013918908875336,-0.02595849335193634,-0.15388459468450416
42,6,9.46671691817055,-0.029464971274137497,-0.17206841952610144
42,7,9.131546460591291,-0.028980480507016182,-0.16955595675229487
43,1,5.164123426997231,-0.01705322228372097,-0.048036486360249576
43,2,5.011156206740681,-0.023847268894314766,-0.08239716800269027
43,3,5.23769360813687,-0.026563705876469612,-0.09613546444004976
43,4,5.51614278784624,-0.029823288321495056,-0.11262070234026765
43,5,5.542953615668102,-0.030618391931056976,-0.11664191437586256
43,6,5.700645816806726,-0.03172208368778229,-0.12222380146876109
43,7,5.7220879327375505,-0.033399153500795364,-0.13070553043530014
44,1,4.919509103354951,-0.014510835520923138,0.00027370295812833027
44,2,5.761246246212673,-0.018901512026786804,-0.02242032493643508
44,3,5.833667139386987,-0.022035256028175354,-0.0386176634757141
44,4,6.1804966312379666,-0.02245251275599003,-0.04077433245544296
44,5,6.0589492521906525,-0.02548997290432453,-0.056474009997814906
44,6,5.835845411683819,-0.026226557791233063,-0.06028118594163405
44,7,6.030592650813642,-0.027767132967710495,-0.0682439351858473
45,1,4.123176803829973,-0.0168441291898489,-0.053272882863923364
45,2,2.4709057881214584,-0.018837779760360718,-0.06351779798440801
45,3,2.0296155298002674,-0.021418774500489235,-0.0767809406986529
45,4,1.7754585441576132,-0.023567935451865196,-0.08782498816252426
45,5,1.928490252738187,-0.026363110169768333,-0.1021887528840876
45,6,2.0023461227555144,-0.027694838121533394,-0.1090321987874022
45,7,2.164520516445604,-0.028873370960354805,-0.1150884099805851
46,1,8.641455775785795,-0.022823194041848183,-0.051768267413390724
46,2,8.116381991882676,-0.0338888019323349,-0.10875141377909348
46,3,7.064356677874297,-0.03810351714491844,-0.13045539391513986
46,4,6.170191853712428,-0.03703261911869049,-0.12494072724926676
46,5,5.564234971061009,-0.03660179302096367,-0.12272215716907822
46,6,5.325728420522428,-0.038301754742860794,-0.13147623273127448
46,7,5.168038338003424,-0.0393231026828289,-0.13673573765224198
47,1,7.485023883547181,-0.02689936012029648,-0.08904841673168101
47,2,7.331580519603141,-0.0378972627222538,-0.14563435213071177
47,3,7.590313288039308,-0.039282139390707016,-0.15275975999555064
47,4,7.086813619849341,-0.04255738481879234,-0.16961141188930565
47,5,6.641275333761412,-0.04348253086209297,-0.17437143351666223
47,6,6.461482057709901,-0.04326816648244858,-0.17326849513127845
47,7,6.5143755747192404,-0.04363801330327988,-0.17517141508506784
48,1,6.722785525067683,-0.011691493913531303,-0.05745275839127512
48,2,7.984258446609318,-0.016712550073862076,-0.08366289419360756
48,3,7.935569808887014,-0.020284149795770645,-0.10230680311507827
48,4,7.63837707650637,-0.021135207265615463,-0.10674936084555238
48,5,7.416361321250948,-0.028032569214701653,-0.14275389606498717
48,6,7.147321087624222,-0.03314751759171486,-0.169454153401803
48,7,6.882397829314601,-0.036968059837818146,-0.1893975533382655
49,1,8.242474357498475,-0.012893891893327236,-0.014141151035731997
49,2,9.670410224281193,-0.018697073683142662,-0.04458805415927339
49,3,9.35626856096411,-0.023431679233908653,-0.06942857816032116
49,4,8.337508047373014,-0.025667980313301086,-0.08116152825311812
49,5,8.238282857329757,-0.02903798595070839,-0.09884255891598694
49,6,7.5928254397478465,-0.030343450605869293,-0.10569179392645102
