id,delta,logp_neutral,logp_negative,logp_positive,forbidden_concept
319,13.5,0.0,-13.5,0.0,thing
320,13.5,0.0,-13.5,0.0,thing
321,14.875,0.0,-14.875,0.0,thing
322,13.5,0.0,-13.5,0.0,thing
323,13.3125,0.0,-13.3125,0.0,thing
324,14.875,0.0,-14.875,0.0,thing
325,13.3125,0.0,-13.3125,0.0,thing
326,13.25,0.0,-13.25,0.0,thing
327,13.5,0.0,-13.5,0.0,thing
328,13.3125,0.0,-13.3125,0.0,thing
329,13.5,0.0,-13.5,0.0,thing
330,13.25,0.0,-13.25,0.0,thing
331,11.5625,0.0,-11.5625,0.0,thing
332,13.5,0.0,-13.5,0.0,thing
333,13.25,0.0,-13.25,0.0,thing
334,14.875,0.0,-14.875,0.0,thing
335,13.5,0.0,-13.5,0.0,thing
336,14.875,0.0,-14.875,0.0,thing
337,13.25,0.0,-13.25,0.0,thing
338,14.875,0.0,-14.875,0.0,thing
339,13.3125,0.0,-13.3125,0.0,thing
340,11.5625,0.0,-11.5625,0.0,thing
341,14.875,0.0,-14.875,0.0,thing
342,13.3125,0.0,-13.3125,0.0,thing
343,11.5625,0.0,-11.5625,0.0,thing
344,13.25,0.0,-13.25,0.0,thing
345,13.25,0.0,-13.25,0.0,thing
346,13.5,0.0,-13.5,0.0,thing
347,13.3125,0.0,-13.3125,0.0,thing
348,11.5625,0.0,-11.5625,0.0,thing
349,13.5,0.0,-13.5,0.0,thing
350,13.5,0.0,-13.5,0.0,thing
351,13.25,0.0,-13.25,0.0,thing
352,14.875,0.0,-14.875,0.0,thing
353,11.5625,0.0,-11.5625,0.0,thing
354,13.25,0.0,-13.25,0.0,thing
355,13.25,0.0,-13.25,0.0,thing
356,14.875,0.0,-14.875,0.0,thing
357,13.3125,0.0,-13.3125,0.0,thing
358,13.3125,0.0,-13.3125,0.0,thing
359,11.5625,0.0,-11.5625,0.0,thing
360,14.875,0.0,-14.875,0.0,thing
361,14.875,0.0,-14.875,0.0,thing
362,13.5,0.0,-13.5,0.0,thing
363,14.875,0.0,-14.875,0.0,thing
364,11.5625,0.0,-11.5625,0.0,thing
365,14.875,0.0,-14.875,0.0,thing
366,13.5,0.0,-13.5,0.0,thing
367,13.3125,0.0,-13.3125,0.0,thing
368,14.875,0.0,-14.875,0.0,thing
369,14.875,0.0,-14.875,0.0,thing
370,11.5625,0.0,-11.5625,0.0,thing
371,13.5,0.0,-13.5,0.0,thing
372,14.875,0.0,-14.875,0.0,thing
373,11.5625,0.0,-11.5625,0.0,thing
374,13.5,0.0,-13.5,0.0,thing
375,13.25,0.0,-13.25,0.0,thing
376,13.5,0.0,-13.5,0.0,thing
377,13.25,0.0,-13.25,0.0,thing
378,13.25,0.0,-13.25,0.0,thing
379,13.5,0.0,-13.5,0.0,thing
380,13.5,0.0,-13.5,0.0,thing
381,11.5625,0.0,-11.5625,0.0,thing
382,13.5,0.0,-13.5,0.0,thing
383,13.3125,0.0,-13.3125,0.0,thing
384,14.875,0.0,-14.875,0.0,thing
385,13.5,0.0,-13.5,0.0,thing
386,13.25,0.0,-13.25,0.0,thing
387,13.25,0.0,-13.25,0.0,thing
388,13.5,0.0,-13.5,0.0,thing
389,14.875,0.0,-14.875,0.0,thing
390,14.875,0.0,-14.875,0.0,thing
391,11.5625,0.0,-11.5625,0.0,thing
392,11.5625,0.0,-11.5625,0.0,thing
393,11.5625,0.0,-11.5625,0.0,thing
394,14.875,0.0,-14.875,0.0,thing
395,13.25,0.0,-13.25,0.0,thing
396,11.5625,0.0,-11.5625,0.0,thing
397,13.5,0.0,-13.5,0.0,thing
